event_series	group
108 NN	108 Nyoung-Nes
123 bonheur	Education Universelle
16A	Education Universelle
16A COMM	Education Universelle
16A NIV2	Education Universelle
A. Berzin conférence	Serkong / Berzin
Anniversaire SSDL	Celebrations
Anniversaire de Sa Sainteté le Dalaï Lama	Celebrations
Art de vivre-mourir	Education Universelle
B. Pavelak	Stages
BM	Bouddha Medecine
Bienveillance et 16A	Education Universelle
Bodh Tara Paula S/PLACE	Tara
Bodh Tara Paula ZOOM	Tara
Bénévole	Benevole
Cercle d'empathie	Education Universelle
Chroniques Bouddhistes	Education Universelle
Cultiver compassion	Education Universelle
DB	DB / PEBA
DEUIL	Education Universelle
Demeurer calme et la vue supérieure (Shamata et Vipashyana)	Shine
EUF AUTO-COMPASSION	Education Universelle
EUF BONHEUR	Education Universelle
EUF PARDON	Education Universelle
EUF pleine consience	Education Universelle
Enseignement du Dr Alexander Berzin	Serkong / Berzin
FSS	FSS
Formation approfondie à la méditation [EN LIGNE]	IDMT
GEPC	Education Universelle
GL	Gueshe Loden
GL Lodjong	Lodjong
Hommage / Guéshé Tèngyé	Celebrations
IB	Initiation (IM/IB)
IDMT	IDMT
IDMT SUR PLACE	IDMT
IM	Initiation (IM/IB)
Initiation de Vajrasattva / Vajrasattva empowerment	Vajrasattva
Initiation et Pratique intensive de Vajrasattva avec Yangsi Rinpoché	Vajrasattva
Initiation et commentaire de Vajra Yogini par Jhado Rinpoché	Retraite VY
Initiation et pratique intensive de Vajrasattva avec Yangsi Rinpoché / Empowerment and intensive practice of Vajrasattva with Yangsi Rinpoche	Vajrasattva
JHADO RINPOCHE	Retraite VY
JPC-	Education Universelle
JPO	JPO
Jan Willis	Jan Willis
Joëlle Maurel	Stages
LAMRIM	Lamrim
LAMRIM (SUR PLACE)	Lamrim
LAMRIM (VIA ZOOM)	Lamrim
LAMRIM VG	Ven. Gendun
LAMRIM VG ZOOM	Ven. Gendun
LT	Lama Tcheupa
Lama Tcheupa	Lama Tcheupa
Lhabab Dutchèn	Celebrations
Losar	Celebrations
M. Aflallo	Stages
Mahamoudra	Retraites intensives
Mini Vipassana SUR PLACE	Vipassana
Mini Vipassana VIA ZOOM	Vipassana
Nuit à Tara	Tara
PEBA	DB / PEBA
PEBA (Programme d'Etudes Bouddhiques Approfondi)	DB / PEBA
Peinture de tsa-tsas	Tsa-tsas
Pratique intensive de Vajrasattva / Intensive practice of Vajrasattva	Vajrasattva
Premier pas sur le chemin du pardon…	Education Universelle
Prières LZR	Celebrations
Qi Gong Thierry Julien	Stages
Qi Gong de l'Oie Sauvage	Stages
RETRAITE PAULA VY	Retraite VY
RETRAITE Ven Gendun	Ven. Gendun
Radical Love VG	Intercontemplative
Repas hors activités	Repas hors activites
Retraite BM	Bouddha Medecine
Retraite LTK	Retraites intensives
Retraite PC Mouv	Education Universelle
Retraite VY	Retraite VY
Retraite VY JS	Retraite VY
Retraite d'été de Lamrim (SUR PLACE)	Lamrim
Retraite d'été de Lamrim (VIA ZOOM)	Lamrim
Retraite de 4 jours de compassion et pleine conscience, réservée aux femmes	Education Universelle
Retraite de bols d'eau	Retraites intensives
Retraite de pleine conscience en mouvement	Education Universelle
RetraiteCompassionFemme	Education Universelle
Robina + kids	Ven. Robina
Réservation de repas hors activités	Repas hors activites
SBE	SBE
Sakadawa	Celebrations
Sens et 16A	Education Universelle
Serkong Rinpoche ZOOM	Serkong / Berzin
Serkong Rinpoché	Serkong / Berzin
Serkong Rinpoché & Alexander Berzin (SUR PLACE / ONSITE)	Serkong / Berzin
Serkong Rinpoché & Alexander Berzin (VIA ZOOM)	Serkong / Berzin
Shamata-Vipashyana	Shine
Shiné	Shine
Stage Gill-Eric	Stages
Stage Yoga S Cierco	Stages
Stage de Catherine Boussa	Stages
Stage de Joëlle Maurel	Stages
Stage de William Nelson	Stages
Stage de Yoga de Dominique Meunier	Stages
Stage de yoga de Sébastien Cierco	Stages
Séjour perso (non public)	Sejour personnel
Séjour personnel	Sejour personnel
Séjour personnel [non-public]	Sejour personnel
TEST	
TMM	Education Universelle
Tara	Tara
Tcheukor Dutchen	Celebrations
Tchotrul Dutchèn	Celebrations
Tchènrézi	Tchenrezi
Thubten Chodron	Ven. Thubten Chodron
Tsa-tsas	Tsa-tsas
Tsenshab Serkong Rinpoché	Serkong / Berzin
VRC	Ven. Robina
VRC Mort	Ven. Robina
VRC compassion SUR PLACE	Ven. Robina
VRC compassion VIA ZOOM	Ven. Robina
Vipassana [EN ZOOM]	Vipassana
Vipassana [SUR PLACE]	Vipassana
W. Nelson	Stages
YR	Vajrasattva
Yamantaka	Retraites intensives
[obsolète] Atelier avec vénérable Thubten Chodron (VIA ZOOM)	Ven. Thubten Chodron
[obsolète] Retraite : apprentissage de la bienveillance	Education Universelle
lnitiation LTK	Initiations tantriques
